Rank,Company,Country/Territory,Sales,Profits,Assets,Market Value,Industry,Founded,Chief Executive Officer,Employees
1747,Ogaki Kyoritsu Bank,Japan,737000000.0,69000000.0,52600000000.0,910000000.0,Regional Banks,1896,Takashi Tsuchiya,3573.0
1748,Vingroup,Vietnam,5300000000.0,140000000.0,12400000000.0,14100000000.0,,2002,,466.0
1749,Ansys,United States,1300000000.0,419000000.0,3300000000.0,15700000000.0,Software & Programming,1970,,3400.0
1750,SinoPac Financial,Taiwan,1700000000.0,313000000.0,52200000000.0,4200000000.0,Regional Banks,2002,,8693.0
1751,San-In Godo Bank,Japan,833000000.0,104000000.0,52200000000.0,1100000000.0,Regional Banks,1941,,2157.0
1752,Wirecard,Germany,2300000000.0,406000000.0,6000000000.0,16700000000.0,Software & Programming,1999,,5154.0
1753,Nanto Bank,Japan,600000000.0,87000000.0,52100000000.0,613000000.0,Regional Banks,1934,Takashi Hashimoto,2708.0
1754,Universal Entertainment,Japan,844000000.0,1500000000.0,4700000000.0,2600000000.0,,1973,,7866.0
1755,Mirvac Group,Australia,1900000000.0,950000000.0,9900000000.0,7300000000.0,Real Estate,2000,,1591.0
1756,Grupo Bolivar,Colombia,5000000000.0,359000000.0,38400000000.0,1300000000.0,Business & Personal Services,,,25177.0
1757,Constellation Software,Canada,3100000000.0,381000000.0,2900000000.0,18700000000.0,,1995,,14335.0
1758,Albemarle,United States,3400000000.0,694000000.0,7600000000.0,8700000000.0,Specialized Chemicals,1993,Luke C. Kissam,5900.0
1759,Bank of Xi'an,China,1400000000.0,315000000.0,34299999999.999996,7200000000.0,Major Banks,1997,,3266.0
1760,Adient,Ireland,17400000000.0,-1500000000.0,10400000000.0,2400000000.0,Auto & Truck Parts,2015,,85000.0
1761,Zain,Kuwait,4400000000.0,650000000.0,14800000000.0,6800000000.0,Telecommunications services,1983,Bader Nasser Mohammad Al-Kharafi,
1762,IDEXX Laboratories,United States,2200000000.0,377000000.0,1500000000.0,18800000000.0,Medical Equipment & Supplies,,,8377.0
1763,Sansteel Minguang,China,5400000000.0,983000000.0,4099999999.9999995,4600000000.0,Iron & Steel,2001,,11607.0
1764,RMB Holdings,South Africa,4000000.0,741000000.0,3600000000.0,8300000000.000001,Investment Services,1987,,17.0
1765,Bendigo & Adelaide Bank,Australia,1700000000.0,303000000.0,50500000000.0,3500000000.0,Regional Banks,2007,,4426.0
1766,Aozora Bank,Japan,1400000000.0,355000000.0,46000000000.0,2900000000.0,Regional Banks,1957,,2062.0
1767,Red Star Macalline Group,China,2100000000.0,688000000.0,16200000000.0,6100000000.0,Real Estate,2007,,24339.0
1768,Central Bank of India,India,4200000000.0,-797000000.0,50300000000.0,1600000000.0,Regional Banks,1911,,36843.0
1769,Founder Securities,China,953000000.0,100000000.0,21600000000.0,9500000000.0,Investment Services,1988,,8590.0
1770,Vietin Bank,Vietnam,3700000000.0,235000000.0,50200000000.0,3400000000.0,Regional Banks,1988,,24197.0
1771,Senshu Ikeda Holdings,Japan,740000000.0,47000000.0,50100000000.0,701000000.0,Regional Banks,2009,,2853.0
1772,Syndicate Bank,India,3800000000.0,-483000000.0,49900000000.0,1400000000.0,Regional Banks,1925,Mrutyunjay Mahapatra,35011.0
1773,Celltrion,South Korea,892000000.0,243000000.0,3300000000.0,22700000000.0,Biotechs,1991,,
1774,Inventec,Taiwan,16800000000.0,216000000.0,6700000000.0,2900000000.0,Computer Hardware,1975,,
1775,Orient,Japan,2100000000.0,298000000.0,49400000000.0,1800000000.0,Consumer Financial Services,1951,,4627.0
1776,Credito Emiliano,Italy,2300000000.0,220000000.0,49300000000.0,1900000000.0,Regional Banks,1973,Nazzareno Gregori,6117.0
1777,SDIC Capital,China,2000000000.0,254000000.0,22600000000.0,9100000000.0,Household/Personal Care,,,6967.0
1778,Indiabulls Housing Finance,India,2500000000.0,601000000.0,18400000000.0,4900000000.0,Consumer Financial Services,,,
1779,Tokyo Kiraboshi Financial Group,Japan,698000000.0,15000000.0,49300000000.0,445000000.0,Regional Banks,2014,,3299.0
1780,Aareal Bank,Germany,1400000000.0,245000000.0,48800000000.0,2100000000.0,Thrifts & Mortgage Finance,1923,,2748.0
1781,Sembcorp Industries,Singapore,8700000000.0,242000000.0,17100000000.000002,3600000000.0,Electric Utilities,1998,,7000.0
1782,China Zhongwang Holdings,China,3800000000.0,624000000.0,17400000000.0,4000000000.0,Aluminum,2008,,
1783,PacWest Bancorp,United States,1300000000.0,455000000.0,26300000000.0,4700000000.0,Regional Banks,1999,,1833.0
1784,Palo Alto Networks,United States,2600000000.0,-90000000.0,5700000000.0,22500000000.0,Security Systems,2005,,5348.0
1785,NH Investment & Securities,South Korea,1400000000.0,328000000.0,48100000000.0,3800000000.0,Investment Services,,,
1786,SBA Communications,United States,1900000000.0,47000000.0,7200000000.0,22400000000.0,Telecommunications services,1989,,1347.0
1787,Hyatt Hotels,United States,4500000000.0,769000000.0,7600000000.0,8000000000.0,Hotels & Motels,1957,,54000.0
1788,Tenneco,United States,11800000000.0,55000000.0,13200000000.0,2000000000.0,Auto & Truck Parts,1940,,81000.0
1789,Core-Mark Holding,United States,16399999999.999998,46000000.0,1700000000.0,1700000000.0,Trading Companies,,,8087.0
1790,Vodafone Idea,India,4600000000.0,-1600000000.0,32799999999.999996,7100000000.0,Telecommunications services,1995,Balesh Chandra Sharma,16309.0
1791,MercadoLibre,Argentina,1400000000.0,-37000000.0,2200000000.0,22200000000.0,Computer Services,1999,Marcos Eduardo Galperin,7239.0
1792,Adyen,Netherlands,2000000000.0,155000000.0,2100000000.0,22200000000.0,,2006,,873.0
